类型,名称,出处,片段
关系,overall mortality rate | value | 14.3%,paper_146_39861829,"位置: Discussion / chunk 6 / pages 7-9 | 证据: the overall ICU admission and the mortality rates were reasonably low (14.3% and 4.8%, respectively)"
关系,ICU admission rate | value | 4.8%,paper_146_39861829,"位置: Discussion / chunk 6 / pages 7-9 | 证据: the overall ICU admission and the mortality rates were reasonably low (14.3% and 4.8%, respectively)"
概念,Cyclodextrins,paper_588_39861729,位置: 前言 / chunk 0 / page 2 | 证据: Cyclodextrins are cyclic oligosaccharides capable of entrapping the guest molecules within their hydrophobic cavity through non-covalent interactions.
概念,cationic cyclodextrins,paper_588_39861729,"位置: 前言 / chunk 0 / page 2 | 证据: cationic cyclodextrins have gained considerable attention, due to their enhanced permeability across negatively charged cell membranes and their ability to complex with negatively charged nucleic acid due to electrostatic interactions."
概念,unmodified β-cyclodextrin,paper_588_39861729,"位置: 前言 / chunk 0 / page 2 | 证据: However, unmodified β-cyclodextrin is associated with nephrotoxicity and poor aqueous solubility, which limit its applications as a carrier for the delivery of therapeutic agents."
关系,unmodified β-cyclodextrin | associated_with | nephrotoxicity,paper_588_39861729,"位置: 前言 / chunk 0 / page 2 | 证据: However, unmodified β-cyclodextrin is associated with nephrotoxicity and poor aqueous solubility"
概念,drug delivery systems,paper_588_39861729,位置: 前言 / chunk 0 / page 2 | 证据: This review summarizes the state-of-the-art and recent advances in the construction of cationic cyclodextrin-based drug delivery systems.
概念,therapeutic agents,paper_588_39861729,"位置: 前言 / chunk 0 / page 2 | 证据: The classification of cationic cyclodextrin-based drug delivery systems was also based on the four major types of drugs, including anticancer, anti-inflammatory, antibacterial, and antidiabetic agents."
概念,Gynecomastia,paper_516_39881782,"位置: 前言 / chunk 0 | 证据: Gynecomastia is a condition in which breast enlargement usually benign, but it can also manifest as a result of malignancies"
概念,Pseudogynecomastia,paper_516_39881782,位置: 前言 / chunk 0 | 证据: Pseudogynecomastia is an excessive deposit of fatty tissue in the male breast.
概念,True gynecomastia,paper_516_39881782,"位置: 前言 / chunk 0 | 证据: true gynecomastia is male breast enlargement due to excessive fat, while true gynecomastia is common in infants, adolescents, and elderly men"
概念,Soy isoflavones / phytoestrogens,paper_516_39881782,位置: Conclusion / chunk 4 | 证据: Soy-based products have been categorized as phytoestrogens and these molecules mimic the activity of estrogen.
概念,Ultrasound-assisted liposuction,paper_516_39881782,"位置: 前言 / chunk 0 | 证据: Ultrasound-assisted liposuction was performed, 130 mL from the right breast and 120 mL from the left breast."
关系,Soy isoflavones | associated_with | Gynecomastia,paper_516_39881782,"位置: Conclusion / chunk 4 | 证据: The association of isoflavones, which mainly come from patients' diet, with gynecomastia has been debated."
关系,Soy milk consumption | causes | Breast tenderness,paper_516_39881782,位置: Conclusion / chunk 4 | 证据: patient's breast tenderness resolved after discontinuing the soymilk consumption.
关系,High soy isoflavone diet | associated_with | Erectile dysfunction,paper_516_39881782,"位置: Conclusion / chunk 4 | 证据: a patient on a vegan diet exhibited erectile dysfunction, a diminished libido, and gynecomastia."
关系,Discontinuing isoflavones | improves | Symptoms,paper_516_39881782,位置: Conclusion / chunk 4 | 证据: Both cases reported favorable results after the discontinuation of isoflavones containing diet.
关系,Surgical intervention | indicated_for | Persistent gynecomastia,paper_516_39881782,"位置: Conclusion / chunk 4 | 证据: If gynecomastia persists for 12 months, even after discontinuing other possible factors, surgical intervention should be considered."
关系,Ultrasound-assisted liposuction | leads_to | Patient satisfaction,paper_516_39881782,位置: 前言 / chunk 0 | 证据: The patient was satisfied with the surgery and felt more confident in his social life.
关系,Aging | increases_risk_of | Gynecomastia,paper_516_39881782,位置: Discussion / chunk 3 | 证据: Older men (starting at age 65) will often develop breast enlargement due to a decrease in testosterone plasma levels.
概念,肝细胞癌 (HCC),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: Hepatocellular carcinoma (HCC) has been ranked as the seventh most common cancer in the world
概念,青蒿琥酯 (Artesunate),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: Artesunate is a water-soluble derivative of artemisinin
概念,化合物 6c,paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: a representative 6c compound
概念,索拉非尼 (Sorafenib),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: such as sorafenib and regorafenib
概念,活性氧 (ROS),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: critical in generating reactive oxygen species (ROS)
概念,铁死亡 (Ferroptosis),paper_113_39881675,"位置: 前言 / chunk 0 / pages 2-3 | 证据: induces apoptosis, ferroptosis, autophagy"
概念,血管内皮生长因子受体 2 (VEGFR-2),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: oncogenic vascular endothelial growth factor receptor 2 (VEGFR-2)
概念,转铁蛋白受体 (TFRC/Transferrin receptor),paper_113_39881675,位置: 前言 / chunk 0 / pages 2-3 | 证据: Transferrin receptor (TFR1) that are overexpressed in malignant epithelial tumors
关系,化合物 6c | 抑制 | HCC 细胞增殖,paper_113_39881675,位置: Discussion / chunk 6 / pages 12-15 | 证据: compound 6c can inhibit the proliferation of HCC in a time- and concentration-dependent manner
关系,化合物 6c | 诱导 | 活性氧 (ROS) 产生,paper_113_39881675,位置: Discussion / chunk 6 / pages 12-15 | 证据: 6c induced Huh7 and Hep3B cells to produce ROS in a concentration-dependent manner
关系,化合物 6c | 激活 | 线粒体凋亡通路,paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: Western blot results showed that 6c activated the mitochondrial apoptosis pathway
关系,化合物 6c | 诱导 | 铁死亡 (Ferroptosis),paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: indicating that 6c can induce ferroptosis in Huh7 cells
关系,化合物 6c | 导致 | G2/M 期细胞周期阻滞,paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: 6c blocked the cell cycle progression of Huh7 cells and kept them in the G2/M phase
关系,化合物 6c | 结合 | VEGFR-2,paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: VEGFR2 and TFRC are the potential targets of 6c
关系,化合物 6c | 结合 | TFRC,paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: VEGFR2 and TFRC are the potential targets of 6c
关系,化合物 6c | 具有 | 体内抗肿瘤活性,paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: the xenograft tumor model confirmed the significant activity of 6c in vivo
关系,化合物 6c | IC50 | 8.5 μM (HepG2),paper_113_39881675,位置: Discussion / chunk 6 / pages 12-15 | 证据: Our compound 6c had an IC50 of 8.5 μM in HepG2 cells
关系,化合物 6c | IC50 | 2.25 μM (Huh7),paper_113_39881675,位置: Discussion / chunk 6 / pages 12-15 | 证据: and an IC50 of 2.25 μM in Huh7 cells
关系,化合物 6c | IC50 | >100 μM (LO2 正常肝细胞),paper_113_39881675,位置: Discussion / chunk 6 / pages 12-15 | 证据: its IC50 in LO2 cells (human normal liver cells) was more than 100 μM
关系,化合物 6c | 剂量 | 10 mg/kg (体内),paper_113_39881675,位置: Discussion / chunk 7 / pages 12-15 | 证据: 10 mg/kg compound 6c via intraperitoneal injection for 21 days
概念,脑部疾病,paper_108_39861756,"位置: 前言 / chunk 0 | 证据: Brain diseases, including central nervous system (CNS) disorders and brain cancers, are some of the most common and devastating health issues"
概念,血脑屏障,paper_108_39861756,位置: 前言 / chunk 0 | 证据: the difficulties posed by the blood–brain barrier (BBB)
概念,受体介导的转胞吞作用,paper_108_39861756,位置: 前言 / chunk 0 | 证据: promising obstacles through receptor-mediated transcytosis (RMT)
概念,大分子药物,paper_108_39861756,"位置: 前言 / chunk 0 | 证据: Macromolecular drugs have been successfully applied to treat various diseases, including CNS disorders and brain cancers"
概念,阿尔茨海默病,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Alzheimer's disease
概念,神经母细胞瘤,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Neuroblastoma
概念,胶质母细胞瘤,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Glioblastoma
概念,阿杜卡尼单抗,paper_108_39861756,"位置: 前言 / chunk 1 | 证据: aducanumab, a human immunoglobulin gamma 1 (IgG1) monoclonal antibody to clean amyloid β"
概念,仑卡奈单抗,paper_108_39861756,"位置: 前言 / chunk 1 | 证据: lecanemab, another Aβ-targeting monoclonal antibody"
关系,阿杜卡尼单抗 | 靶向 | β-淀粉样蛋白,paper_108_39861756,位置: 前言 / chunk 1 | 证据: aducanumab...monoclonal antibody to clean amyloid β
关系,仑卡奈单抗 | 靶向 | β-淀粉样蛋白,paper_108_39861756,"位置: 前言 / chunk 1 | 证据: lecanemab, another Aβ-targeting monoclonal antibody"
关系,阿杜卡尼单抗 | 治疗 | 阿尔茨海默病,paper_108_39861756,位置: 前言 / chunk 1 | 证据: aducanumab...became the first approved treatment for Alzheimer’s disease
关系,仑卡奈单抗 | 治疗 | 阿尔茨海默病,paper_108_39861756,位置: 前言 / chunk 1 | 证据: lecanemab...was approved to treat Alzheimer's disease
关系,纳西他单抗 | 靶向 | GD2神经节苷脂,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Naxitamab targets GD2 ganglioside
关系,地努图昔单抗 | 靶向 | GD2神经节苷脂,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Dinutuximab targets GD2 ganglioside
关系,贝伐珠单抗 | 靶向 | 血管内皮生长因子,paper_108_39861756,位置: 前言 / chunk 1 | 证据: Bevacizumab targets VEGF (vascular endothelial growth factor)
关系,受体介导的转胞吞作用 | 促进 | 脑部药物递送,paper_108_39861756,位置: 前言 / chunk 0 | 证据: promising obstacles through receptor-mediated transcytosis (RMT) for brain drug delivery
概念,COVID-19,paper_817_39861827,位置: 前言 / chunk 0 | 证据: The COVID-19 pandemic has posed significant and unprecedented challenges to global health systems
概念,obesity,paper_817_39861827,位置: 前言 / chunk 0 | 证据: individuals with obesity have emerged as being particularly at risk
关系,obesity | associated_with | severe COVID-19 outcomes,paper_817_39861827,位置: 前言 / chunk 0 | 证据: Clinical studies consistently show that obesity is associated with an elevated risk of adverse COVID-19 outcomes
概念,SARS-CoV-2 mutations,paper_817_39861827,位置: 前言 / chunk 0 | 证据: This study aims to characterize specific SARS-CoV-2 mutations associated with higher BMI
概念,C313T mutation,paper_817_39861827,"位置: 前言 / chunk 0 | 证据: C313T showed a 428% increase in mortality risk, marking it as a potential marker"
关系,C313T mutation | increases | mortality risk,paper_817_39861827,位置: 前言 / chunk 0 | 证据: C313T showed a 428% increase in mortality risk
概念,C14599T mutation,paper_817_39861827,位置: 前言 / chunk 0 | 证据: C14599T appeared to be protective against hospitalization
关系,C14599T mutation | protective_against | hospitalization,paper_817_39861827,位置: 前言 / chunk 0 | 证据: C14599T appeared to be protective against hospitalization
概念,A20268G mutation,paper_817_39861827,位置: 前言 / chunk 0 | 证据: A20268G was linked to a 50% increase in hospitalization risk and elevated antibody levels
关系,A20268G mutation | increases | hospitalization risk,paper_817_39861827,位置: 前言 / chunk 0 | 证据: A20268G was linked to a 50% increase in hospitalization risk
概念,synonymous mutations,paper_817_39861827,"位置: 前言 / chunk 0 | 证据: all three mutations were synonymous, not altering viral protein sequences"
概念,inflammatory markers,paper_817_39861827,位置: Discussion / chunk 7 | 证据: The trends in inflammatory markers associated with some mutations suggest an impact on the immune response
概念,neutralizing antibodies,paper_817_39861827,位置: Discussion / chunk 7 | 证据: A20268G was associated with significantly higher levels of neutralizing antibodies (p < 0.001)
关系,A20268G mutation | associated_with | elevated antibody levels,paper_817_39861827,位置: Discussion / chunk 7 | 证据: A20268G was associated with a higher risk of hospitalization and elevated antibody levels
概念,cohort demographics,paper_817_39861827,"位置: Discussion / chunk 7 | 证据: The demographic profile of the cohort, with a median age of 61 years and an average BMI of 26.9 kg/m²"
概念,hospitalization rate,paper_817_39861827,位置: Discussion / chunk 7 | 证据: The high proportion of hospitalizations (38.5%) and mortality (14.1%) observed in our sample
概念,XE recombinant variant,paper_817_39861827,位置: Discussion / chunk 7 | 证据: The C14599T mutation found in our study has also been documented in the XE recombinant variant
概念,viral persistence,paper_817_39861827,位置: Discussion / chunk 7 | 证据: The A20268G mutation has been noted in prolonged SARS-CoV-2 infections within immunocompromised patients
概念,regional adaptation,paper_817_39861827,位置: Discussion / chunk 8 | 证据: The co-occurrence of C313T with C5700 may indicate a selective advantage in that specific geographic context
概念,codon usage optimization,paper_817_39861827,位置: Discussion / chunk 8 | 证据: Synonymous mutations in SARS-CoV-2 can contribute significantly to the virus's adaptation by optimizing codon usage
概念,spike protein,paper_817_39861827,"位置: Discussion / chunk 8 | 证据: The G28083T mutation could be linked to alterations in the spike protein, which is significant due to its crucial role in infectivity"
概念,non-structural proteins,paper_817_39861827,"位置: Discussion / chunk 9 | 证据: This study emphasizes the significance of mutations in genes encoding non-structural proteins, as they could act as surrogate markers"
概念,tailored treatment plans,paper_817_39861827,"位置: Discussion / chunk 9 | 证据: Further research is essential to develop tailored treatment plans and vaccine schedules that ensure durable, protective immune responses"
概念,Overall survival (OS),paper_289_39872603,位置: Introduction / chunk 0 | 证据: Overall survival (OS) after lymphoma has improved
概念,Non-Western immigrant patients,paper_289_39872603,位置: Introduction / chunk 0 | 证据: Non-Western immigrant patients with lymphoma
概念,Danish-born patients,paper_289_39872603,"位置: Introduction / chunk 0 | 证据: 16,294 Danish-born patients diagnosed with lymphoma"
概念,Mediation analysis,paper_289_39872603,位置: Introduction / chunk 0 | 证据: Mediation analysis using a natural effects Cox model were used
关系,Non-Western immigrant patients | compared_to | Danish-born patients,paper_289_39872603,位置: Introduction / chunk 0 | 证据: survival between non-Western immigrant patients and Danish-born patients were compared
概念,Hazard ratio (HR),paper_289_39872603,位置: Discussion / chunk 5 | 证据: HRs of 1.06 (0.99–1.14)
概念,Classical Hodgkin lymphoma (cHL),paper_289_39872603,位置: Discussion / chunk 5 | 证据: subgroup analysis for patients with cHL showed a survival advantage
概念,Follicular lymphoma (FL),paper_289_39872603,位置: Discussion / chunk 5 | 证据: A lower prevalence of FL was observed among the non-Western immigrant patients
概念,ECOG performance status,paper_289_39872603,位置: Discussion / chunk 5 | 证据: differences in ECOG and income quartile indicated a trend towards inferior OS
概念,Income quartile,paper_289_39872603,位置: Discussion / chunk 5 | 证据: differences in ECOG and income quartile indicated a trend towards inferior OS
关系,Immigration status | no_total_causal_effect_on | overall survival,paper_289_39872603,位置: Introduction / chunk 0 | 证据: no total causal effect of immigration status on OS
关系,Non-Western immigrant patients | lower_prevalence_of | follicular lymphoma,paper_289_39872603,位置: Discussion / chunk 5 | 证据: A lower prevalence of FL was observed among the non-Western immigrant patients
关系,Immigrant patients | longer_median_time_to | diagnosis/treatment,paper_289_39872603,位置: Discussion / chunk 5 | 证据: immigrant patients with lymphoma had three days longer median diagnosis to treatment time
关系,Lower income quartile | mediated_negative_effect_on | overall survival,paper_289_39872603,"位置: Discussion / chunk 5 | 证据: immigrant patients were more likely to be in the lowest income quartile, which mediated a negative indirect effect of immigrant status on OS"
概念,5-year overall survival,paper_289_39872603,位置: Discussion / chunk 5 | 证据: 5-year OS difference of 1.8(−3.7–7.4)
概念,慢性呼吸系统疾病 (CRD),paper_917_39880611,位置: 摘要 / chunk 0 | 证据: chronic respiratory diseases (CRD)
概念,气候变化,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: Under the background of climate change
概念,空气污染,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: escalating air pollution
概念,极端天气事件 (EWEs),paper_917_39880611,"位置: 摘要 / chunk 0 | 证据: sandstorms, wildﬁre"
概念,哮喘,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: asthma
概念,慢性阻塞性肺疾病 (COPD),paper_917_39880611,位置: 摘要 / chunk 0 | 证据: COPD
概念,肺部炎症,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: pulmonary inﬂammation
概念,免疫紊乱,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: immune disorders
概念,氧化应激,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: oxidative stress
概念,老年人,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: the elderly
概念,儿童,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: children
概念,贫困群体,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: impoverished groups
概念,颗粒物 (PM),paper_917_39880611,位置: 前言 / chunk 1 | 证据: particulate matter (PM)
概念,氮氧化物 (NOx),paper_917_39880611,位置: 前言 / chunk 1 | 证据: nitrogen oxides (NOx)
概念,二氧化硫 (SO2),paper_917_39880611,位置: 前言 / chunk 1 | 证据: sulfur dioxide (SO2)
概念,臭氧 (O3),paper_917_39880611,位置: 前言 / chunk 1 | 证据: ozone (O3)
概念,全球变暖,paper_917_39880611,位置: 前言 / chunk 1 | 证据: Global warming
概念,二氧化碳 (CO2),paper_917_39880611,位置: 前言 / chunk 1 | 证据: carbon dioxide (CO2)
概念,温室气体 (GHGs),paper_917_39880611,位置: 前言 / chunk 1 | 证据: greenhouse gas (GHGs)
关系,气候变化 | increases_risk_of | 慢性呼吸系统疾病 (CRD),paper_917_39880611,"位置: 摘要 / chunk 0 | 证据: Under the background of climate change, the escalating air pollution chronic respiratory diseases (CRD)"
关系,空气污染 | risk_factor_for | 慢性呼吸系统疾病 (CRD),paper_917_39880611,位置: 摘要 / chunk 0 | 证据: air pollution and extreme weather events have been identiﬁed as risk factors for chronic respiratory diseases
关系,气候变化 | causes | 空气污染,paper_917_39880611,位置: 前言 / chunk 1 | 证据: Climate change has signiﬁcantly intensiﬁed air pollution concerns.
关系,气候变化 | causes | 极端天气事件 (EWEs),paper_917_39880611,位置: 前言 / chunk 1 | 证据: Climate change refers to long-term shifts or alterations in weather conditions and patterns of extreme weather events (EWEs)
关系,全球变暖 | driven_by | 二氧化碳 (CO2),paper_917_39880611,位置: 前言 / chunk 1 | 证据: Global warming... primarily driven by increased atmospheric concentrations of carbon dioxide (CO2)
关系,气候变化 | involves_mechanism | 肺部炎症,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: Potential pathophysiological mechanisms linking climate change and increased risk of CRD involved pulmonary inﬂammation
关系,气候变化 | involves_mechanism | 免疫紊乱,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: mechanisms linking climate change and increased risk of CRD involved... immune disorders
关系,气候变化 | involves_mechanism | 氧化应激,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: mechanisms linking climate change and increased risk of CRD involved... oxidative stress
关系,老年人 | more_sensitive_to | 气候变化引起的呼吸健康风险,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: the elderly... are more sensitive to respiratory health risks caused by climate change
关系,儿童 | more_sensitive_to | 气候变化引起的呼吸健康风险,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: children... are more sensitive to respiratory health risks caused by climate change
关系,贫困群体 | more_sensitive_to | 气候变化引起的呼吸健康风险,paper_917_39880611,位置: 摘要 / chunk 0 | 证据: impoverished groups... are more sensitive to respiratory health risks caused by climate change
概念,Scleromyxedema (SM),paper_558_39872227,"位置: Introduction / chunk 0 | 证据: Scleromyxedema (SM), also known as diffuse/generalized disease, is a rare primary cutaneous mucinosis."
概念,hepatitis B virus (HBV),paper_558_39872227,位置: Introduction / chunk 0 | 证据: The patient was found to be associated with hepatitis B virus (HBV)
概念,monoclonal gammopathy,paper_558_39872227,位置: Discussion / chunk 3 | 证据: (iii) presence of monoclonal gammopathy
概念,diagnostic criteria,paper_558_39872227,位置: Discussion / chunk 3 | 证据: The diagnosis of SM is established based on the identification of the following clinicopathologic criteria
关系,Scleromyxedema | is_a | rare primary cutaneous mucinosis,paper_558_39872227,"位置: Introduction / chunk 0 | 证据: Scleromyxedema (SM), also known as diffuse/generalized disease, is a rare primary cutaneous mucinosis."
关系,Scleromyxedema | associated_with | hepatitis B virus,paper_558_39872227,位置: Introduction / chunk 0 | 证据: The patient was found to be associated with hepatitis B virus (HBV)
关系,Scleromyxedema | has_symptom | scleroderma-like rash,paper_558_39872227,位置: Discussion / chunk 3 | 证据: (i) presence of a generalized papular and scleroderma-like rash
关系,Scleromyxedema | has_pathological_feature | mucin deposition,paper_558_39872227,"位置: Discussion / chunk 3 | 证据: microscopic triad consisting of mucin deposition, fibrosis, and fibroblast proliferation"
关系,Scleromyxedema | has_pathological_feature | fibrosis,paper_558_39872227,"位置: Discussion / chunk 3 | 证据: microscopic triad consisting of mucin deposition, fibrosis, and fibroblast proliferation"
关系,Scleromyxedema | has_pathological_feature | fibroblast proliferation,paper_558_39872227,"位置: Discussion / chunk 3 | 证据: microscopic triad consisting of mucin deposition, fibrosis, and fibroblast proliferation"
关系,Scleromyxedema | associated_with | monoclonal gammopathy,paper_558_39872227,位置: Discussion / chunk 3 | 证据: (iii) presence of monoclonal gammopathy
关系,Scleromyxedema | excludes | thyroid disease,paper_558_39872227,位置: Discussion / chunk 3 | 证据: (iv) absence of thyroid disease.
概念,乳腺癌,paper_58_39865928,"位置: 前言 / chunk 0 / page 2 | 证据: In 2022, 2.3 million women worldwide were diagnosed with breast cancer, resulting in 670 000 deaths."
概念,多柔比星,paper_58_39865928,位置: 前言 / chunk 0 / page 2 | 证据: Doxorubicin (DOX) is a member of the anthracycline class of chemotherapy medications.
概念,克拉霉素,paper_58_39865928,"位置: 前言 / chunk 0 / page 2 | 证据: Clarithromycin (CAM), a macrolide antibiotic, is a known inhibitor of P-gp."
概念,P-糖蛋白,paper_58_39865928,位置: 前言 / chunk 0 / page 2 | 证据: ...its effectiveness is often diminished by P-glycoprotein (P-gp) mediated drug efflux.
概念,多药耐药,paper_58_39865928,"位置: Conclusion / chunk 6 / page 9 | 证据: DOX... is hindered by poor selectivity and multidrug resistance (MDR), limiting its anticancer efficacy."
概念,CAM/DOX-PEGylated脂质体,paper_58_39865928,位置: Results and Discussion / chunk 3 / pages 5-8 | 证据: The optimized CAM/DOX-PEGylated liposomes demonstrated a particle size of 238±26.7 nm with a PDI of 0.29±0.11.
概念,MCF-7细胞系,paper_58_39865928,"位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: MCF-7 cell lines were treated with CAM/DOX-PEGylated liposomes, free DOX, and a physical mix of CAM and DOX."
关系,CAM/DOX-PEGylated脂质体 | 平均粒径 | 238±26.7 nm,paper_58_39865928,位置: Results and Discussion / chunk 3 / pages 5-8 | 证据: The optimized CAM/DOX-PEGylated liposomes demonstrated a particle size of 238±26.7 nm.
关系,CAM/DOX-PEGylated脂质体 | Zeta电位 | -20.9±2.17 mV,paper_58_39865928,位置: Results and Discussion / chunk 3 / pages 5-8 | 证据: PEGylated liposomes displayed a negative zeta potential averaging at −20.9±2.17 mV.
关系,CAM/DOX-PEGylated脂质体 | 包封率_DOX | 78.13±4.5%,paper_58_39865928,位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: The EE% values were approximately 78.13±4.5% for DOX.
关系,CAM/DOX-PEGylated脂质体 | 包封率_CAM | 82.05±4.2%,paper_58_39865928,"位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: ...and 82.05±4.2% for CAM, indicating that both drugs were efficiently loaded."
关系,CAM/DOX-PEGylated脂质体 | 稳定性 | 9天,paper_58_39865928,位置: Results and Discussion / chunk 3 / pages 5-8 | 证据: CAM/DOX-PEGylated liposomes demonstrated stable particle size and zeta potential over a 9-day period.
关系,CAM/DOX-PEGylated脂质体 | IC50_MCF-7_72h | 0.13 µM,paper_58_39865928,位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: The decrease in the IC50 value for CAM/DOX-PEGylated liposomes (0.13 µM) compared to the IC50 of the physical mixture (0.25 µM) after 72 h.
关系,物理混合物(CAM+DOX) | IC50_MCF-7_72h | 0.25 µM,paper_58_39865928,位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: ...compared to the IC50 of the physical mixture (0.25 µM) after 72 h of treatment.
关系,CAM/DOX-PEGylated脂质体 | 降低 | P-糖蛋白表达,paper_58_39865928,位置: Results and Discussion / chunk 5 / pages 5-8 | 证据: ...the concentration of P-gp in CAM/DOX-PEGylated liposomes at 72 h was lower... and the reduction was approximately... 5.2% for CAM/DOX-PEGylated liposomes.
关系,CAM/DOX-PEGylated脂质体 | 增强 | 细胞毒性,paper_58_39865928,位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: treatment with CAM/DOX PEGylated liposomes significantly induced greater inhibition of cell growth compared to a physical mixture.
关系,克拉霉素 | 抑制 | P-糖蛋白,paper_58_39865928,位置: Results and Discussion / chunk 5 / pages 5-8 | 证据: The ability of CAM to inhibit P-gp explains the reduction in P-gp concentration.
关系,CAM/DOX-PEGylated脂质体 | 提供 | 控释,paper_58_39865928,位置: Results and Discussion / chunk 4 / pages 5-8 | 证据: This delayed and slower release of DOX from the CAM/DOX-PEGylated liposomes indicates the ability of the liposomal formulation to provide controlled drug delivery.
关系,CAM/DOX-PEGylated脂质体 | 潜在克服 | 多药耐药,paper_58_39865928,位置: Results and Discussion / chunk 5 / pages 5-8 | 证据: CAM enhances drug accumulation and potentially overcoming multidrug resistance (MDR) in cancer therapy.
概念,sepsis,paper_712_39901742,位置: Background / chunk 0 | 证据: Sepsis is typically caused by bacterial infections and is a severe complication in patient post-surgery
概念,thrombocytopenia,paper_712_39901742,位置: Background / chunk 0 | 证据: Sepsis-induced thrombocytopenia is 15.6%.
关系,sepsis | associated_with | thrombocytopenia,paper_712_39901742,位置: Background / chunk 0 | 证据: Sepsis impairs the body’s resistance and disrupts the immune system. Thrombocytopenia further exacerbates coagulation abnormalities
概念,recombinant human thrombopoietin (rhTPO),paper_712_39901742,位置: Background / chunk 0 | 证据: Recombinant human thrombopoietin (rhTPO) is a biopharmaceutical that stimulates Plt production.
关系,rhTPO | mechanism_of_action | stimulates_platelet_production,paper_712_39901742,"位置: Background / chunk 0 | 证据: RhTPO acts on the Plt receptor c-MPL, activating downstream pathways to stimulate hematopoietic cell proliferation, induce megakaryocyte formation, promote megakaryocyte nuclear division, and accelerate Plt production."
关系,rhTPO | reduces | inflammatory_response,paper_712_39901742,"位置: Background / chunk 1 | 证据: Furthermore, rhTPO possesses the potential to inhibit the production of inflammatory factors and alleviate inflammatory responses"
概念,sepsis-associated thrombocytopenia,paper_712_39901742,位置: Discussion / chunk 6 | 证据: Thrombocytopenia is one of the primary complications observed in septic patients
关系,thrombocytopenia | increases | mortality_risk,paper_712_39901742,位置: Discussion / chunk 6 | 证据: The research findings indicated an inverse relationship between Plt count in critically ill patients and their mortality rate.
概念,ICU mortality,paper_712_39901742,位置: Discussion / chunk 6 | 证据: Table 3. Comparison of ICU and Overall Hospital Mortality Rates Between the Two Groups.
关系,rhTPO_treatment | reduces | ICU_mortality,paper_712_39901742,位置: Discussion / chunk 6 | 证据: Table 3. Group R (rhTPO) ICU Mortality 20.83% vs Group C 27.78% (P 0.042)
关系,rhTPO_treatment | reduces | overall_hospital_mortality,paper_712_39901742,位置: Discussion / chunk 6 | 证据: Table 3. Group R Overall Hospital Mortality 26.39% vs Group C 33.33% (P 0.047)
关系,rhTPO_treatment | associated_with | reduced_mortality_risk,paper_712_39901742,"位置: Discussion / chunk 6 | 证据: Table 5. Multivariate analysis: rhTPO treatment (Group R) OR 0.475 (0.231∼0.976), P 0.042"
关系,rhTPO | increases | platelet_count,paper_712_39901742,位置: Discussion / chunk 7 | 证据: The results revealed that rhTPO could greatly increase Plt counts and extend patients’ prognosis
关系,rhTPO | reduces | blood_transfusion_requirement,paper_712_39901742,位置: Discussion / chunk 7 | 证据: while reducing the need for blood product transfusions and ICU stay.
关系,rhTPO | reduces | inflammatory_factors,paper_712_39901742,"位置: Discussion / chunk 8 | 证据: the post-treatment serum levels of the inflammatory factors TLR4, IL-6, and TNF-α were markedly lower in Group R versus Group C."
